Country,Continent,Territory
Canada,North America,Americas
Costa Rica,North America,Americas
Cuba,North America,Americas
Curacao,North America,Americas
Dominica,North America,Americas
Dominican Republic,North America,Americas
Grenada,North America,Americas
Greenlands,North America,Americas
Guadeloupe,North America,Americas
Guatemala,North America,Americas
Honduras,North America,Americas
Haiti,North America,Americas
Jamaica,North America,Americas
Saint Kitts and Nevis,North America,Americas
Cayman Islands,North America,Americas
Saint Lucia,North America,Americas
Saint Martin,North America,Americas
Martinique,North America,Americas
Montserrat,North America,Americas
Mexico,North America,Americas
Nicaragua,North America,Americas
Panama,North America,Americas
Saint Pierre and Miquelon,North America,Americas
Puerto Rico,North America,Americas
El Salvador,North America,Americas
Sint Maarten,North America,Americas
Turks and Caicos,North America,Americas
Trinidad and Tobago,North America,Americas
United States,North America,Americas
Saint Vincent and the Grenadines,North America,Americas
British Virgin Islands,North America,Americas
US Virgin Islands,North America,Americas
American Samoa,Oceana,APAC
Australia,Oceana,APAC
Cook Islands,Oceana,APAC
Fiji,Oceana,APAC
Micronesia,Oceana,APAC
Guam,Oceana,APAC
Kiribati,Oceana,APAC
Marshall Islands,Oceana,APAC
Northern Mariana Islands,Oceana,APAC
New Caledonia,Oceana,APAC
Norfolk Island,Oceana,APAC
Nauru,Oceana,APAC
Niue,Oceana,APAC
New Zealand,Oceana,APAC
French Polynesia,Oceana,APAC
Papua New Guinea,Oceana,APAC
Pitcairn Islands,Oceana,APAC
Palau,Oceana,APAC
Solomon Islands,Oceana,APAC
Tokelau,Oceana,APAC
Tonga,Oceana,APAC
Tuvalu,Oceana,APAC
Wake Island,Oceana,APAC
Vanuatu,Oceana,APAC
Wallis and Futuna,Oceana,APAC
Samoa,Oceana,APAC
Argentina,South America,Americas
Bolivia,South America,Americas
Brazil,South America,Americas
Chile,South America,Americas
Colombia,South America,Americas
Ecuador,South America,Americas
Guyana,South America,Americas
Peru,South America,Americas
Paraguay,South America,Americas
Suriname,South America,Americas
Uruguay,South America,Americas
Venezuela,South America,Americas
